Namespace(init_path='UniRep/1900_weights', n_layers=1, num_iters=1000, rnn_size=1900, save_dir='1000_iters_hs1900_nl4_pt', site_loss=True)
Uniprot data had already been processed. Loading from csv
WARNING:tensorflow:From /clusterfs/mhg/sprasad/CTA/geometries/UniRep_finetune_forest/UniRep/unirep.py:113: calling l2_normalize (from tensorflow.python.ops.nn_impl) with dim is deprecated and will be removed in a future version.
Instructions for updating:
dim is deprecated, use axis instead
2020-05-07 14:24:01.554219: E tensorflow/stream_executor/cuda/cuda_driver.cc:300] failed call to cuInit: CUDA_ERROR_NO_DEVICE: no CUDA-capable device is detected
2020-05-07 14:24:01.554309: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:150] kernel driver does not appear to be running on this host (n0071.mhg0): /proc/driver/nvidia/version does not exist
Size of training data: 49839, size of test data: 12460
WARNING:tensorflow:From /global/software/sl-7.x86_64/modules/apps/ml/tensorflow/1.12.0-py36/lib/python3.6/site-packages/tensorflow/python/ops/sparse_ops.py:1165: sparse_to_dense (from tensorflow.python.ops.sparse_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Create a `tf.sparse.SparseTensor` and use `tf.sparse.to_dense` instead.
WARNING:tensorflow:From /clusterfs/mhg/sprasad/CTA/geometries/UniRep_finetune_forest/UniRep/data_utils.py:190: group_by_window (from tensorflow.contrib.data.python.ops.grouping) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.data.experimental.group_by_window(...)`.
START OF TRAINING FOR 1000 ITERATIONS
Iteration 0, loss 2.5929672718048096, site loss 1.0676860809326172
Iteration 26, loss 2.410369396209717, site loss 0.05633805692195892
Iteration 27, loss 2.409569263458252, site loss 0.059038519859313965
Iteration 28, loss 2.438493490219116, site loss 0.05336727201938629
Iteration 29, loss 2.43607234954834, site loss 0.05669177323579788
Iteration 30, loss 2.4119396209716797, site loss 0.05587393790483475
Iteration 31, loss 2.394449234008789, site loss 0.05432196706533432
Iteration 32, loss 2.3859262466430664, site loss 0.05709928274154663
Iteration 33, loss 2.3899338245391846, site loss 0.054905541241168976
Iteration 34, loss 2.3953070640563965, site loss 0.05587087944149971
Iteration 35, loss 2.390611410140991, site loss 0.057356275618076324
Iteration 36, loss 2.3321752548217773, site loss 0.04974079132080078
Iteration 37, loss 2.384962558746338, site loss 0.05620891600847244
Iteration 38, loss 2.3473753929138184, site loss 0.05321222543716431
Iteration 39, loss 2.3329973220825195, site loss 0.054689668118953705
Iteration 40, loss 2.3583459854125977, site loss 0.05184454470872879
Iteration 41, loss 2.358670234680176, site loss 0.056418221443891525
Iteration 42, loss 2.3552284240722656, site loss 0.058392785489559174
Iteration 43, loss 2.366793394088745, site loss 0.05184813216328621
Iteration 44, loss 2.3293681144714355, site loss 0.059000954031944275
Iteration 45, loss 2.378809928894043, site loss 0.05232468992471695
Iteration 46, loss 2.325444459915161, site loss 0.048722852021455765
Iteration 47, loss 2.3227806091308594, site loss 0.055168554186820984
Iteration 48, loss 2.3355541229248047, site loss 0.0538242906332016
Iteration 49, loss 2.3274900913238525, site loss 0.05123809725046158
Iteration 50, loss 2.3512368202209473, site loss 0.050028495490550995
Iteration 51, loss 2.3501009941101074, site loss 0.05366474390029907
Iteration 52, loss 2.331801176071167, site loss 0.05475062504410744
Iteration 53, loss 2.280883312225342, site loss 0.05154137313365936
Iteration 54, loss 2.318789482116699, site loss 0.050499480217695236
Iteration 55, loss 2.3090624809265137, site loss 0.04644526168704033
Iteration 56, loss 2.316575527191162, site loss 0.055503081530332565
Iteration 57, loss 2.308290481567383, site loss 0.05152361840009689
Iteration 58, loss 2.2706522941589355, site loss 0.04561262205243111
Iteration 59, loss 2.267549991607666, site loss 0.0520600900053978
Iteration 60, loss 2.3045783042907715, site loss 0.04701995104551315
Iteration 61, loss 2.2908129692077637, site loss 0.0463574156165123
Iteration 62, loss 2.2444186210632324, site loss 0.04999735951423645
Iteration 63, loss 2.2665505409240723, site loss 0.04565539211034775
Iteration 64, loss 2.320707321166992, site loss 0.04988475143909454
Iteration 65, loss 2.2569828033447266, site loss 0.04903320595622063
Iteration 66, loss 2.260723829269409, site loss 0.04575987905263901
Iteration 67, loss 2.3157949447631836, site loss 0.04419495165348053
Iteration 68, loss 2.1959986686706543, site loss 0.047920092940330505
Iteration 69, loss 2.2341606616973877, site loss 0.04535495117306709
Iteration 70, loss 2.2119696140289307, site loss 0.044597022235393524
Iteration 71, loss 2.1731667518615723, site loss 0.04360732436180115
Iteration 72, loss 2.2278122901916504, site loss 0.04639686271548271
Iteration 73, loss 2.2538633346557617, site loss 0.04925772175192833
Iteration 74, loss 2.162834644317627, site loss 0.043693818151950836
Iteration 75, loss 2.2308430671691895, site loss 0.04400869831442833
Iteration 76, loss 2.2197964191436768, site loss 0.04540848359465599
Iteration 77, loss 2.1838271617889404, site loss 0.04557427018880844
Iteration 78, loss 2.1811575889587402, site loss 0.0406346432864666
Iteration 79, loss 2.2122015953063965, site loss 0.04131403937935829
Iteration 80, loss 2.1954898834228516, site loss 0.04110238701105118
Iteration 81, loss 2.21293306350708, site loss 0.04592064768075943
Iteration 82, loss 2.2486555576324463, site loss 0.04381180554628372
Iteration 83, loss 2.1910552978515625, site loss 0.04274791479110718
Iteration 84, loss 2.267186164855957, site loss 0.04239588975906372
Iteration 85, loss 2.2247142791748047, site loss 0.042016349732875824
Iteration 86, loss 2.246879816055298, site loss 0.04546316713094711
Iteration 87, loss 2.2142720222473145, site loss 0.046189405024051666
Iteration 88, loss 2.274979591369629, site loss 0.04508962854743004
Iteration 89, loss 2.29266357421875, site loss 0.0478072389960289
Iteration 90, loss 2.2180941104888916, site loss 0.04453607648611069
Iteration 91, loss 2.2476563453674316, site loss 0.045236557722091675
Iteration 92, loss 2.2425501346588135, site loss 0.04622458666563034
Iteration 93, loss 2.2271342277526855, site loss 0.04707914590835571
Iteration 94, loss 2.2245380878448486, site loss 0.04426433891057968
Iteration 95, loss 2.2505855560302734, site loss 0.045938193798065186
Iteration 96, loss 2.2724521160125732, site loss 0.04511532559990883
Iteration 97, loss 2.2199838161468506, site loss 0.04388830438256264
Iteration 98, loss 2.2505855560302734, site loss 0.044591762125492096
Iteration 99, loss 2.224865674972534, site loss 0.03962618112564087
Iteration 100, loss 2.23730731010437, site loss 0.04298597574234009
Iteration 101, loss 2.2193045616149902, site loss 0.04589645937085152
Iteration 102, loss 2.1949737071990967, site loss 0.0382002517580986
Iteration 103, loss 2.25457763671875, site loss 0.046187013387680054
Iteration 104, loss 2.182483434677124, site loss 0.03861474245786667
Iteration 105, loss 2.214322566986084, site loss 0.04494985193014145
Iteration 106, loss 2.759705066680908, site loss 0.09434182196855545
Iteration 107, loss 2.279865264892578, site loss 0.04536423087120056
Iteration 108, loss 2.2273993492126465, site loss 0.04377129673957825
Iteration 109, loss 2.270533800125122, site loss 0.043188877403736115
Iteration 110, loss 2.2141125202178955, site loss 0.03987004980444908
Iteration 111, loss 2.2683634757995605, site loss 0.0416894406080246
Iteration 112, loss 2.1781888008117676, site loss 0.04646551236510277
Iteration 113, loss 2.2184762954711914, site loss 0.042184893041849136
Iteration 114, loss 2.2536492347717285, site loss 0.04330495744943619
Iteration 115, loss 2.209660053253174, site loss 0.03965382277965546
Iteration 116, loss 2.2593376636505127, site loss 0.0409846268594265
Iteration 117, loss 2.206101894378662, site loss 0.04038819670677185
Iteration 118, loss 2.2187886238098145, site loss 0.03965941071510315
Iteration 119, loss 2.1815285682678223, site loss 0.040415216237306595
Iteration 120, loss 2.2739477157592773, site loss 0.04077652096748352
Iteration 121, loss 2.195082426071167, site loss 0.03954330086708069
Iteration 122, loss 2.1956334114074707, site loss 0.04105761647224426
Iteration 123, loss 2.209057331085205, site loss 0.040806740522384644
Iteration 124, loss 2.241137981414795, site loss 0.03724022954702377
Iteration 125, loss 2.1723239421844482, site loss 0.03736943006515503
Iteration 126, loss 2.2031960487365723, site loss 0.04113945737481117
Iteration 127, loss 2.1595730781555176, site loss 0.037863485515117645
Iteration 128, loss 2.259735345840454, site loss 0.03851371631026268
Iteration 129, loss 2.1648471355438232, site loss 0.03794942796230316
Iteration 130, loss 2.1480133533477783, site loss 0.03704134374856949
Iteration 131, loss 2.152320384979248, site loss 0.03917120769619942
Iteration 132, loss 2.118821144104004, site loss 0.03805626556277275
Iteration 133, loss 2.1474857330322266, site loss 0.037398334592580795
Iteration 134, loss 2.14013671875, site loss 0.03512338548898697
Iteration 135, loss 2.1806421279907227, site loss 0.03496447205543518
Iteration 136, loss 2.177338123321533, site loss 0.038478732109069824
Iteration 137, loss 2.1254758834838867, site loss 0.033460814505815506
Iteration 138, loss 2.2050743103027344, site loss 0.03578971326351166
Iteration 139, loss 2.1692094802856445, site loss 0.03436361253261566
Iteration 140, loss 2.2007925510406494, site loss 0.03686457872390747
Iteration 141, loss 2.1533095836639404, site loss 0.03292914479970932
Iteration 142, loss 2.137582778930664, site loss 0.033227816224098206
Iteration 143, loss 2.1085023880004883, site loss 0.03263767063617706
Iteration 144, loss 2.1557021141052246, site loss 0.03146440535783768
Iteration 145, loss 2.071688413619995, site loss 0.033511288464069366
Iteration 146, loss 2.0904130935668945, site loss 0.029395263642072678
Iteration 147, loss 2.1447372436523438, site loss 0.032026082277297974
Iteration 148, loss 2.151904582977295, site loss 0.03240890055894852
Iteration 149, loss 2.085878610610962, site loss 0.032649729400873184
Iteration 150, loss 2.121244192123413, site loss 0.030775493010878563
Iteration 151, loss 2.116820812225342, site loss 0.03297022730112076
Iteration 152, loss 2.107203483581543, site loss 0.03338067978620529
Iteration 153, loss 2.0973973274230957, site loss 0.03113621659576893
Iteration 154, loss 2.1352343559265137, site loss 0.030890069901943207
Iteration 155, loss 2.1551952362060547, site loss 0.03225331008434296
Iteration 156, loss 2.092766761779785, site loss 0.030146554112434387
Iteration 157, loss 2.137582302093506, site loss 0.02946648746728897
Iteration 158, loss 2.0991909503936768, site loss 0.02837122604250908
Iteration 159, loss 2.146876811981201, site loss 0.029169820249080658
Iteration 160, loss 2.1347289085388184, site loss 0.030027886852622032
Iteration 161, loss 2.054368495941162, site loss 0.02677425742149353
Iteration 162, loss 2.0780177116394043, site loss 0.031809475272893906
Iteration 163, loss 2.0049424171447754, site loss 0.027692025527358055
Iteration 164, loss 2.0856919288635254, site loss 0.029465988278388977
Iteration 165, loss 2.070885419845581, site loss 0.029142003506422043
Iteration 166, loss 2.0481090545654297, site loss 0.028643958270549774
Iteration 167, loss 2.125704288482666, site loss 0.03064125031232834
Iteration 168, loss 2.103710174560547, site loss 0.02826998382806778
Iteration 169, loss 2.1050350666046143, site loss 0.0328308567404747
Iteration 170, loss 2.0739996433258057, site loss 0.02869652397930622
Iteration 171, loss 2.106992483139038, site loss 0.029457001015543938
Iteration 172, loss 2.0990047454833984, site loss 0.030629660934209824
Iteration 173, loss 2.0669939517974854, site loss 0.028095878660678864
Iteration 174, loss 2.133343458175659, site loss 0.027898844331502914
Iteration 175, loss 2.0425429344177246, site loss 0.02788250707089901
Iteration 176, loss 2.040316343307495, site loss 0.027333345264196396
Iteration 177, loss 2.0521833896636963, site loss 0.028457868844270706
Iteration 178, loss 2.051762580871582, site loss 0.029708873480558395
Iteration 179, loss 2.0240721702575684, site loss 0.02899770811200142
Iteration 180, loss 2.055549383163452, site loss 0.026849476620554924
Iteration 181, loss 2.0789425373077393, site loss 0.02733065001666546
Iteration 182, loss 2.033677577972412, site loss 0.02596951648592949
Iteration 183, loss 2.0332088470458984, site loss 0.030750231817364693
Iteration 184, loss 2.0056722164154053, site loss 0.029304800555109978
Iteration 185, loss 2.050807237625122, site loss 0.028002187609672546
Iteration 186, loss 2.033085823059082, site loss 0.027089204639196396
Iteration 187, loss 1.9795336723327637, site loss 0.02863188460469246
Iteration 188, loss 2.05100679397583, site loss 0.02704976499080658
Iteration 189, loss 2.0025064945220947, site loss 0.026820015162229538
Iteration 190, loss 1.9626760482788086, site loss 0.024995112791657448
Iteration 191, loss 1.8729625940322876, site loss 0.026874041184782982
Iteration 192, loss 1.9447221755981445, site loss 0.02885977365076542
Iteration 193, loss 2.0051844120025635, site loss 0.02888140082359314
Iteration 194, loss 2.077775001525879, site loss 0.027047893032431602
Iteration 195, loss 2.018876791000366, site loss 0.027249639853835106
Iteration 196, loss 2.0546908378601074, site loss 0.02836599200963974
Iteration 197, loss 1.9860031604766846, site loss 0.027752231806516647
Iteration 198, loss 2.6550326347351074, site loss 0.06241016089916229
Iteration 199, loss 2.009568929672241, site loss 0.02723102644085884
Iteration 200, loss 1.9879004955291748, site loss 0.028315430507063866
Iteration 201, loss 2.0357542037963867, site loss 0.030464068055152893
Iteration 202, loss 1.9632225036621094, site loss 0.026086194440722466
Iteration 203, loss 1.9292864799499512, site loss 0.027382779866456985
Iteration 204, loss 1.9543391466140747, site loss 0.028385020792484283
Iteration 205, loss 1.9569871425628662, site loss 0.02961229719221592
Iteration 206, loss 1.947501301765442, site loss 0.0293591246008873
Iteration 207, loss 1.8912920951843262, site loss 0.024280613288283348
Iteration 208, loss 1.8973724842071533, site loss 0.025754090398550034
Iteration 209, loss 1.8910834789276123, site loss 0.025125451385974884
Iteration 210, loss 1.9126803874969482, site loss 0.026470940560102463
Iteration 211, loss 1.8868300914764404, site loss 0.027791641652584076
Iteration 212, loss 1.8996244668960571, site loss 0.02649865299463272
Iteration 213, loss 1.8406152725219727, site loss 0.026229746639728546
Iteration 214, loss 1.9163569211959839, site loss 0.025705959647893906
Iteration 215, loss 1.880859613418579, site loss 0.02337544783949852
Iteration 216, loss 1.946613073348999, site loss 0.027501670643687248
Iteration 217, loss 1.8748085498809814, site loss 0.02678963728249073
Iteration 218, loss 1.957516074180603, site loss 0.024763723835349083
Iteration 219, loss 1.9588383436203003, site loss 0.02512265369296074
Iteration 220, loss 1.9082599878311157, site loss 0.025827664881944656
Iteration 221, loss 1.9507336616516113, site loss 0.026583554223179817
Iteration 222, loss 2.0017497539520264, site loss 0.029951486736536026
Iteration 223, loss 1.9950108528137207, site loss 0.028712036088109016
Iteration 224, loss 2.0202674865722656, site loss 0.028558945283293724
Iteration 225, loss 1.9685295820236206, site loss 0.02835615910589695
Iteration 226, loss 1.9578869342803955, site loss 0.026049502193927765
Iteration 227, loss 1.9131264686584473, site loss 0.027124658226966858
Iteration 228, loss 1.9669971466064453, site loss 0.029654335230588913
Iteration 229, loss 1.909671664237976, site loss 0.027960235252976418
Iteration 230, loss 1.9132969379425049, site loss 0.02580299600958824
Iteration 231, loss 2.012996196746826, site loss 0.029882444068789482
Iteration 232, loss 1.9010467529296875, site loss 0.0291752852499485
Iteration 233, loss 2.056018829345703, site loss 0.028674695640802383
Iteration 234, loss 1.9206024408340454, site loss 0.02606179006397724
Iteration 235, loss 1.9346009492874146, site loss 0.028328780084848404
Iteration 236, loss 1.828789234161377, site loss 0.024369705468416214
Iteration 237, loss 1.8661613464355469, site loss 0.02820511721074581
Iteration 238, loss 1.8861491680145264, site loss 0.024469995871186256
Iteration 239, loss 1.870013952255249, site loss 0.027121201157569885
Iteration 240, loss 1.8365237712860107, site loss 0.026347946375608444
Iteration 241, loss 2.025672674179077, site loss 0.026819389313459396
Iteration 242, loss 1.8795093297958374, site loss 0.02558174729347229
Iteration 243, loss 1.9194557666778564, site loss 0.026117442175745964
Iteration 244, loss 1.8563768863677979, site loss 0.0273524671792984
Iteration 245, loss 1.8466987609863281, site loss 0.025723382830619812
Iteration 246, loss 1.9163727760314941, site loss 0.022939277812838554
Iteration 247, loss 1.9260210990905762, site loss 0.02625899389386177
Iteration 248, loss 1.894342303276062, site loss 0.02717011049389839
Iteration 249, loss 1.8731579780578613, site loss 0.02466733008623123
Iteration 250, loss 1.9006611108779907, site loss 0.025039438158273697
Iteration 251, loss 1.864624261856079, site loss 0.026196984574198723
Iteration 252, loss 1.9128575325012207, site loss 0.02424168586730957
Iteration 253, loss 1.887796401977539, site loss 0.02577287144958973
Iteration 254, loss 1.8020625114440918, site loss 0.02360597997903824
Iteration 255, loss 1.7791860103607178, site loss 0.023375414311885834
Iteration 256, loss 1.874043345451355, site loss 0.022805090993642807
Iteration 257, loss 1.8085744380950928, site loss 0.02372763305902481
Iteration 258, loss 1.857133150100708, site loss 0.022650958970189095
Iteration 259, loss 1.8013323545455933, site loss 0.022154945880174637
Iteration 260, loss 1.8046979904174805, site loss 0.02218138426542282
Iteration 261, loss 1.8587406873703003, site loss 0.023442436009645462
Iteration 262, loss 1.7709318399429321, site loss 0.023285187780857086
Iteration 263, loss 1.8513121604919434, site loss 0.02205764874815941
Iteration 264, loss 1.85499906539917, site loss 0.027064546942710876
Iteration 265, loss 1.764665961265564, site loss 0.02130167931318283
Iteration 266, loss 1.844355583190918, site loss 0.02177717350423336
Iteration 267, loss 1.7744879722595215, site loss 0.02091386169195175
Iteration 268, loss 1.8269686698913574, site loss 0.025281168520450592
Iteration 269, loss 1.7968733310699463, site loss 0.024510521441698074
Iteration 270, loss 1.881792664527893, site loss 0.02271396294236183
Iteration 271, loss 1.8142492771148682, site loss 0.023789871484041214
Iteration 272, loss 1.9022448062896729, site loss 0.025231458246707916
Iteration 273, loss 1.8305740356445312, site loss 0.026156719774007797
Iteration 274, loss 1.7883877754211426, site loss 0.0214582160115242
Iteration 275, loss 1.8898463249206543, site loss 0.02250346727669239
Iteration 276, loss 1.7811229228973389, site loss 0.019904635846614838
Iteration 277, loss 1.75443696975708, site loss 0.023372191935777664
Iteration 278, loss 1.8568638563156128, site loss 0.019844897091388702
Iteration 279, loss 1.7643980979919434, site loss 0.019148193299770355
Iteration 280, loss 1.806020736694336, site loss 0.021960459649562836
Iteration 281, loss 1.8480384349822998, site loss 0.02253386378288269
Iteration 282, loss 1.8691377639770508, site loss 0.025160618126392365
Iteration 283, loss 1.8164000511169434, site loss 0.021908661350607872
Iteration 284, loss 1.855643630027771, site loss 0.020972371101379395
Iteration 285, loss 1.8276383876800537, site loss 0.023368490859866142
Iteration 286, loss 1.7788465023040771, site loss 0.020222507417201996
Iteration 287, loss 1.820244312286377, site loss 0.021299127489328384
Iteration 288, loss 1.8592369556427002, site loss 0.02317476086318493
Iteration 289, loss 1.7711758613586426, site loss 0.022532794624567032
Iteration 290, loss 1.7450072765350342, site loss 0.019520167261362076
Iteration 291, loss 1.7725157737731934, site loss 0.022905543446540833
Iteration 292, loss 1.838979959487915, site loss 0.021355291828513145
Iteration 293, loss 1.7866144180297852, site loss 0.02182304859161377
Iteration 294, loss 1.8187143802642822, site loss 0.023511871695518494
Iteration 295, loss 1.7783023118972778, site loss 0.02047157846391201
Iteration 296, loss 1.858430027961731, site loss 0.021999508142471313
Iteration 297, loss 1.7766838073730469, site loss 0.021797873079776764
Iteration 298, loss 1.7900416851043701, site loss 0.020978514105081558
Iteration 299, loss 1.9095706939697266, site loss 0.0247972309589386
Iteration 300, loss 1.756327509880066, site loss 0.020335335284471512
Iteration 301, loss 1.8474239110946655, site loss 0.02343066595494747
Iteration 302, loss 1.7703239917755127, site loss 0.022828184068202972
Iteration 303, loss 1.7895991802215576, site loss 0.02187095768749714
Iteration 304, loss 1.7599389553070068, site loss 0.02215539664030075
Iteration 305, loss 1.7702330350875854, site loss 0.01914469711482525
Iteration 306, loss 1.794245719909668, site loss 0.0211520753800869
Iteration 307, loss 1.8437223434448242, site loss 0.021938439458608627
Iteration 308, loss 1.8103618621826172, site loss 0.020621202886104584
Iteration 309, loss 1.7887802124023438, site loss 0.022310009226202965
Iteration 310, loss 1.7406853437423706, site loss 0.018976151943206787
Iteration 311, loss 1.757123351097107, site loss 0.019695844501256943
Iteration 312, loss 1.7948147058486938, site loss 0.020514776930212975
Iteration 313, loss 1.8488762378692627, site loss 0.02571544423699379
Iteration 314, loss 2.4027764797210693, site loss 0.052458811551332474
Iteration 315, loss 1.7423714399337769, site loss 0.019071105867624283
Iteration 316, loss 1.7923418283462524, site loss 0.019126510247588158
Iteration 317, loss 1.784006953239441, site loss 0.020161183550953865
Iteration 318, loss 1.7893155813217163, site loss 0.019535481929779053
Iteration 319, loss 1.8072713613510132, site loss 0.019023993983864784
Iteration 320, loss 1.793252944946289, site loss 0.0213914904743433
Iteration 321, loss 1.7831087112426758, site loss 0.018743116408586502
Iteration 322, loss 1.75668466091156, site loss 0.01712905988097191
Iteration 323, loss 1.744788646697998, site loss 0.020950060337781906
Iteration 324, loss 1.7369709014892578, site loss 0.01957813650369644
Iteration 325, loss 1.805431842803955, site loss 0.021223159506917
Iteration 326, loss 1.8179123401641846, site loss 0.019585933536291122
Iteration 327, loss 1.7443838119506836, site loss 0.01922605186700821
Iteration 328, loss 1.73432457447052, site loss 0.016839027404785156
Iteration 329, loss 1.8415356874465942, site loss 0.021161865442991257
Iteration 330, loss 1.8192591667175293, site loss 0.018696032464504242
Iteration 331, loss 1.7686710357666016, site loss 0.019373619928956032
Iteration 332, loss 1.7583142518997192, site loss 0.02076103165745735
Iteration 333, loss 1.8091797828674316, site loss 0.018583228811621666
Iteration 334, loss 1.8236732482910156, site loss 0.018611738458275795
Iteration 335, loss 1.8309764862060547, site loss 0.019738297909498215
Iteration 336, loss 1.7436387538909912, site loss 0.019105136394500732
Iteration 337, loss 1.7138246297836304, site loss 0.01995648257434368
Iteration 338, loss 1.7286739349365234, site loss 0.020486600697040558
Iteration 339, loss 1.7822285890579224, site loss 0.020107610151171684
Iteration 340, loss 1.6567704677581787, site loss 0.016377486288547516
Iteration 341, loss 1.703965187072754, site loss 0.019623933359980583
Iteration 342, loss 1.7952200174331665, site loss 0.01819395273923874
Iteration 343, loss 1.703267216682434, site loss 0.01543545164167881
Iteration 344, loss 1.8005892038345337, site loss 0.019177716225385666
Iteration 345, loss 1.6877515316009521, site loss 0.017453469336032867
Iteration 346, loss 1.7890610694885254, site loss 0.017806869000196457
Iteration 347, loss 1.7468109130859375, site loss 0.01799987070262432
Iteration 348, loss 1.731478214263916, site loss 0.016569584608078003
Iteration 349, loss 1.757495403289795, site loss 0.016378307715058327
Iteration 350, loss 1.6591635942459106, site loss 0.016921214759349823
Iteration 351, loss 1.7485041618347168, site loss 0.01627945899963379
Iteration 352, loss 1.7541049718856812, site loss 0.016192955896258354
Iteration 353, loss 1.7149410247802734, site loss 0.014832626096904278
Iteration 354, loss 1.7725845575332642, site loss 0.016128720715641975
Iteration 355, loss 1.7348164319992065, site loss 0.016600824892520905
Iteration 356, loss 1.693455696105957, site loss 0.017533939331769943
Iteration 357, loss 1.672642469406128, site loss 0.017151523381471634
Iteration 358, loss 1.7712297439575195, site loss 0.017101403325796127
Iteration 359, loss 1.7493294477462769, site loss 0.01669778674840927
Iteration 360, loss 1.7536439895629883, site loss 0.01876462996006012
Iteration 361, loss 1.689546823501587, site loss 0.01623527519404888
Iteration 362, loss 1.6607751846313477, site loss 0.014832220040261745
Iteration 363, loss 1.6649583578109741, site loss 0.016118532046675682
Iteration 364, loss 1.7716100215911865, site loss 0.016516339033842087
Iteration 365, loss 1.7376126050949097, site loss 0.017365366220474243
Iteration 366, loss 1.67140531539917, site loss 0.01619873009622097
Iteration 367, loss 1.6318633556365967, site loss 0.016837310045957565
Iteration 368, loss 1.763321876525879, site loss 0.014849994331598282
Iteration 369, loss 1.688460111618042, site loss 0.018154585734009743
Iteration 370, loss 1.6312382221221924, site loss 0.015047332271933556
Iteration 371, loss 1.6708186864852905, site loss 0.015234420076012611
Iteration 372, loss 1.7324272394180298, site loss 0.018925733864307404
Iteration 373, loss 1.6704473495483398, site loss 0.016912344843149185
Iteration 374, loss 1.6697957515716553, site loss 0.015313029289245605
Iteration 375, loss 1.736274242401123, site loss 0.020199358463287354
Iteration 376, loss 1.7339180707931519, site loss 0.01608137972652912
Iteration 377, loss 1.7363991737365723, site loss 0.018131814897060394
Iteration 378, loss 1.7412455081939697, site loss 0.017123600468039513
Iteration 379, loss 1.6551285982131958, site loss 0.017765827476978302
Iteration 380, loss 1.721895694732666, site loss 0.01612146943807602
Iteration 381, loss 1.7736952304840088, site loss 0.01777317188680172
Iteration 382, loss 1.6273375749588013, site loss 0.015451779589056969
Iteration 383, loss 1.7600553035736084, site loss 0.018683161586523056
Iteration 384, loss 1.6437182426452637, site loss 0.01363813690841198
Iteration 385, loss 1.6615889072418213, site loss 0.015403583645820618
Iteration 386, loss 1.6826488971710205, site loss 0.016606727614998817
Iteration 387, loss 1.7669185400009155, site loss 0.01671670749783516
Iteration 388, loss 1.7737157344818115, site loss 0.01731499284505844
Iteration 389, loss 1.8093369007110596, site loss 0.018299497663974762
Iteration 390, loss 1.71246337890625, site loss 0.018160689622163773
Iteration 391, loss 1.8424590826034546, site loss 0.01732444018125534
Iteration 392, loss 1.7254936695098877, site loss 0.01920030266046524
