Namespace(init_path='UniRep/1900_weights', n_layers=1, num_iters=1000, rnn_size=1900, save_dir='1000_iters_hs1900_nl4_pt_nosite', site_loss=True)
Uniprot data had already been processed. Loading from csv
WARNING:tensorflow:From /clusterfs/mhg/sprasad/CTA/geometries/UniRep_finetune_forest/UniRep/unirep.py:113: calling l2_normalize (from tensorflow.python.ops.nn_impl) with dim is deprecated and will be removed in a future version.
Instructions for updating:
dim is deprecated, use axis instead
2020-05-07 14:26:44.388025: E tensorflow/stream_executor/cuda/cuda_driver.cc:300] failed call to cuInit: CUDA_ERROR_NO_DEVICE: no CUDA-capable device is detected
2020-05-07 14:26:44.388100: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:150] kernel driver does not appear to be running on this host (n0071.mhg0): /proc/driver/nvidia/version does not exist
Size of training data: 49839, size of test data: 12460
WARNING:tensorflow:From /global/software/sl-7.x86_64/modules/apps/ml/tensorflow/1.12.0-py36/lib/python3.6/site-packages/tensorflow/python/ops/sparse_ops.py:1165: sparse_to_dense (from tensorflow.python.ops.sparse_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Create a `tf.sparse.SparseTensor` and use `tf.sparse.to_dense` instead.
WARNING:tensorflow:From /clusterfs/mhg/sprasad/CTA/geometries/UniRep_finetune_forest/UniRep/data_utils.py:190: group_by_window (from tensorflow.contrib.data.python.ops.grouping) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.data.experimental.group_by_window(...)`.
START OF TRAINING FOR 1000 ITERATIONS
Iteration 0, loss 2.6234827041625977, site loss 0.9441781044006348
Iteration 70, loss 2.344118118286133, site loss 0.05094342678785324
Iteration 71, loss 2.3873977661132812, site loss 0.0538657084107399
Iteration 72, loss 2.380706310272217, site loss 0.04990560561418533
Iteration 73, loss 2.2710845470428467, site loss 0.04772711917757988
Iteration 74, loss 2.3479230403900146, site loss 0.049788184463977814
Iteration 75, loss 2.305401086807251, site loss 0.05122481286525726
Iteration 76, loss 2.326603412628174, site loss 0.048396021127700806
Iteration 77, loss 2.3099191188812256, site loss 0.0439685694873333
Iteration 78, loss 2.3403515815734863, site loss 0.05000850930809975
Iteration 79, loss 2.311244487762451, site loss 0.04775794968008995
Iteration 80, loss 2.30788516998291, site loss 0.04888540506362915
Iteration 81, loss 2.2318830490112305, site loss 0.04797264561057091
Iteration 82, loss 2.2885115146636963, site loss 0.04467031732201576
Iteration 83, loss 2.288003444671631, site loss 0.046164289116859436
Iteration 84, loss 2.315011978149414, site loss 0.047916240990161896
Iteration 85, loss 2.3016772270202637, site loss 0.04795869439840317
Iteration 86, loss 2.357128620147705, site loss 0.04788530617952347
Iteration 87, loss 2.2985172271728516, site loss 0.04592831805348396
Iteration 88, loss 2.3367295265197754, site loss 0.05161742866039276
Iteration 89, loss 2.3618597984313965, site loss 0.05143502354621887
Iteration 90, loss 2.2679646015167236, site loss 0.04521310329437256
Iteration 91, loss 2.2908499240875244, site loss 0.04727805405855179
Iteration 92, loss 2.3170759677886963, site loss 0.0436713770031929
Iteration 93, loss 2.2679643630981445, site loss 0.05185471475124359
Iteration 94, loss 2.329726457595825, site loss 0.05135480314493179
Iteration 95, loss 2.288816452026367, site loss 0.051350273191928864
Iteration 96, loss 2.386319160461426, site loss 0.04901958629488945
Iteration 97, loss 2.306131601333618, site loss 0.04975742846727371
Iteration 98, loss 2.307852029800415, site loss 0.04705848544836044
Iteration 99, loss 2.3377580642700195, site loss 0.05186452716588974
Iteration 100, loss 2.349092960357666, site loss 0.04677870124578476
Iteration 101, loss 2.312201499938965, site loss 0.04529689997434616
Iteration 102, loss 2.283090829849243, site loss 0.04496851563453674
Iteration 103, loss 2.31581974029541, site loss 0.04811173677444458
Iteration 104, loss 2.297015428543091, site loss 0.04636043310165405
Iteration 105, loss 2.2791049480438232, site loss 0.04841158539056778
Iteration 106, loss 2.3245668411254883, site loss 0.04517525061964989
Iteration 107, loss 2.2984085083007812, site loss 0.04538706690073013
Iteration 108, loss 2.328808307647705, site loss 0.045207664370536804
Iteration 109, loss 2.762220859527588, site loss 0.09855464100837708
Iteration 110, loss 2.3736815452575684, site loss 0.04599868506193161
Iteration 111, loss 2.3177130222320557, site loss 0.043116431683301926
Iteration 112, loss 2.313514232635498, site loss 0.045047808438539505
Iteration 113, loss 2.3028926849365234, site loss 0.04865922033786774
Iteration 114, loss 2.2920401096343994, site loss 0.04606132209300995
Iteration 115, loss 2.3267266750335693, site loss 0.04616504907608032
Iteration 116, loss 2.3414177894592285, site loss 0.043643102049827576
Iteration 117, loss 2.3392252922058105, site loss 0.04506536200642586
Iteration 118, loss 2.265888214111328, site loss 0.04611191898584366
Iteration 119, loss 2.2770872116088867, site loss 0.04026910662651062
Iteration 120, loss 2.2832465171813965, site loss 0.04420303925871849
Iteration 121, loss 2.2600371837615967, site loss 0.04353818669915199
Iteration 122, loss 2.284235954284668, site loss 0.044073693454265594
Iteration 123, loss 2.2942724227905273, site loss 0.04151230305433273
Iteration 124, loss 2.275343179702759, site loss 0.0429307296872139
Iteration 125, loss 2.203132390975952, site loss 0.042775917798280716
Iteration 126, loss 2.243992328643799, site loss 0.04095624014735222
Iteration 127, loss 2.239595413208008, site loss 0.04195934534072876
Iteration 128, loss 2.2489356994628906, site loss 0.038895778357982635
Iteration 129, loss 2.2707648277282715, site loss 0.04205241799354553
Iteration 130, loss 2.2470321655273438, site loss 0.040987707674503326
Iteration 131, loss 2.2118916511535645, site loss 0.040002502501010895
Iteration 132, loss 2.2203192710876465, site loss 0.03990761563181877
Iteration 133, loss 2.302983522415161, site loss 0.039722882211208344
Iteration 134, loss 2.239205837249756, site loss 0.0393727570772171
Iteration 135, loss 2.2561593055725098, site loss 0.03651666268706322
Iteration 136, loss 2.158630847930908, site loss 0.03934546560049057
Iteration 137, loss 2.2049810886383057, site loss 0.039126165211200714
Iteration 138, loss 2.1938912868499756, site loss 0.03738170489668846
Iteration 139, loss 2.197793483734131, site loss 0.03891643509268761
Iteration 140, loss 2.2070505619049072, site loss 0.038228102028369904
Iteration 141, loss 2.2045187950134277, site loss 0.03380352258682251
Iteration 142, loss 2.18717622756958, site loss 0.0361371673643589
Iteration 143, loss 2.1719846725463867, site loss 0.03571374714374542
Iteration 144, loss 2.225651741027832, site loss 0.03783968463540077
Iteration 145, loss 2.156846523284912, site loss 0.03507768362760544
Iteration 146, loss 2.297548294067383, site loss 0.03894168138504028
Iteration 147, loss 2.156437873840332, site loss 0.035072170197963715
Iteration 148, loss 2.198540687561035, site loss 0.03636162728071213
Iteration 149, loss 2.18630051612854, site loss 0.03413045033812523
Iteration 150, loss 2.2077174186706543, site loss 0.036990705877542496
Iteration 151, loss 2.173008441925049, site loss 0.031034039333462715
Iteration 152, loss 2.1880810260772705, site loss 0.03344196826219559
Iteration 153, loss 2.2125871181488037, site loss 0.03648359328508377
Iteration 154, loss 2.1724820137023926, site loss 0.033241335302591324
Iteration 155, loss 2.1475648880004883, site loss 0.03290345519781113
Iteration 156, loss 2.1596479415893555, site loss 0.03363809734582901
Iteration 157, loss 2.171658992767334, site loss 0.033254656940698624
Iteration 158, loss 2.1766090393066406, site loss 0.032342880964279175
Iteration 159, loss 2.1735448837280273, site loss 0.03337131440639496
Iteration 160, loss 2.227450132369995, site loss 0.03517428785562515
Iteration 161, loss 2.1710610389709473, site loss 0.03445952758193016
Iteration 162, loss 2.1749868392944336, site loss 0.035019975155591965
Iteration 163, loss 2.154679775238037, site loss 0.0302771907299757
Iteration 164, loss 2.139716863632202, site loss 0.031721875071525574
Iteration 165, loss 2.1086037158966064, site loss 0.031045446172356606
Iteration 166, loss 2.1397862434387207, site loss 0.030027372762560844
Iteration 167, loss 2.158425807952881, site loss 0.02958493120968342
Iteration 168, loss 2.166295051574707, site loss 0.031463153660297394
Iteration 169, loss 2.092376947402954, site loss 0.0332779735326767
Iteration 170, loss 2.096503973007202, site loss 0.030491501092910767
Iteration 171, loss 2.0461812019348145, site loss 0.029442038387060165
Iteration 172, loss 1.9677752256393433, site loss 0.027470335364341736
Iteration 173, loss 2.131028175354004, site loss 0.028334621340036392
Iteration 174, loss 2.0852668285369873, site loss 0.03011823631823063
Iteration 175, loss 2.057816743850708, site loss 0.02815883234143257
Iteration 176, loss 2.106987714767456, site loss 0.029495887458324432
Iteration 177, loss 2.093123197555542, site loss 0.027416527271270752
Iteration 178, loss 2.0656251907348633, site loss 0.026471029967069626
Iteration 179, loss 2.0687108039855957, site loss 0.027774274349212646
Iteration 180, loss 2.0918941497802734, site loss 0.03012227639555931
Iteration 181, loss 1.9975271224975586, site loss 0.026266271248459816
Iteration 182, loss 2.047243118286133, site loss 0.02696264162659645
Iteration 183, loss 2.0789265632629395, site loss 0.029749013483524323
Iteration 184, loss 2.0564186573028564, site loss 0.02610054984688759
Iteration 185, loss 2.0982985496520996, site loss 0.030395474284887314
Iteration 186, loss 2.041752815246582, site loss 0.027808241546154022
Iteration 187, loss 1.9988781213760376, site loss 0.027559787034988403
Iteration 188, loss 1.9616843461990356, site loss 0.0295296348631382
Iteration 189, loss 2.0259764194488525, site loss 0.02846643142402172
Iteration 190, loss 2.0511746406555176, site loss 0.02758377604186535
Iteration 191, loss 1.9972641468048096, site loss 0.027716336771845818
Iteration 192, loss 2.054349422454834, site loss 0.02730453759431839
Iteration 193, loss 2.0587754249572754, site loss 0.029563628137111664
Iteration 194, loss 2.0927886962890625, site loss 0.03248409181833267
Iteration 195, loss 2.0345749855041504, site loss 0.0262705497443676
Iteration 196, loss 2.0665767192840576, site loss 0.02834359183907509
Iteration 197, loss 2.1022300720214844, site loss 0.03256131708621979
Iteration 198, loss 2.691364288330078, site loss 0.0692911148071289
Iteration 199, loss 2.0144340991973877, site loss 0.02909347042441368
Iteration 200, loss 2.05041241645813, site loss 0.028283292427659035
Iteration 201, loss 2.0498263835906982, site loss 0.03019593469798565
Iteration 202, loss 2.037351608276367, site loss 0.029766147956252098
Iteration 203, loss 1.9912440776824951, site loss 0.029624763876199722
Iteration 204, loss 2.078348159790039, site loss 0.02789376676082611
Iteration 205, loss 1.9554564952850342, site loss 0.026325751096010208
Iteration 206, loss 1.9807982444763184, site loss 0.02756754495203495
Iteration 207, loss 1.918881893157959, site loss 0.02645072713494301
Iteration 208, loss 1.9310405254364014, site loss 0.02911122888326645
Iteration 209, loss 1.8951553106307983, site loss 0.02430812269449234
Iteration 210, loss 1.963040828704834, site loss 0.02718295529484749
Iteration 211, loss 1.9061697721481323, site loss 0.02398037165403366
Iteration 212, loss 1.9240326881408691, site loss 0.02744806930422783
Iteration 213, loss 1.940713882446289, site loss 0.027610156685113907
Iteration 214, loss 1.8984975814819336, site loss 0.02526700124144554
Iteration 215, loss 1.8943548202514648, site loss 0.023596739396452904
Iteration 216, loss 1.9006749391555786, site loss 0.02739574760198593
Iteration 217, loss 1.9023640155792236, site loss 0.024896923452615738
Iteration 218, loss 1.889390468597412, site loss 0.0260984618216753
Iteration 219, loss 1.7977347373962402, site loss 0.025327961891889572
Iteration 220, loss 1.8987865447998047, site loss 0.02379636839032173
Iteration 221, loss 1.88013756275177, site loss 0.024794835597276688
Iteration 222, loss 1.8916809558868408, site loss 0.024451419711112976
Iteration 223, loss 1.9149842262268066, site loss 0.027364157140254974
Iteration 224, loss 1.8509682416915894, site loss 0.023978834971785545
Iteration 225, loss 1.8900771141052246, site loss 0.02628924697637558
Iteration 226, loss 1.8444956541061401, site loss 0.02291659638285637
Iteration 227, loss 1.8383715152740479, site loss 0.025284649804234505
Iteration 228, loss 1.8787117004394531, site loss 0.026750609278678894
Iteration 229, loss 1.8193719387054443, site loss 0.022480104118585587
Iteration 230, loss 1.8064565658569336, site loss 0.023517603054642677
Iteration 231, loss 1.812934160232544, site loss 0.024705497547984123
Iteration 232, loss 1.8638699054718018, site loss 0.02502450719475746
Iteration 233, loss 1.8095383644104004, site loss 0.027959521859884262
Iteration 234, loss 1.8203299045562744, site loss 0.02361362800002098
Iteration 235, loss 1.834463119506836, site loss 0.02440434694290161
Iteration 236, loss 1.8037358522415161, site loss 0.02260555326938629
Iteration 237, loss 1.8544667959213257, site loss 0.023464292287826538
Iteration 238, loss 1.8032408952713013, site loss 0.023555392399430275
Iteration 239, loss 1.8169643878936768, site loss 0.024714741855859756
Iteration 240, loss 1.8454713821411133, site loss 0.025132492184638977
Iteration 241, loss 1.9553940296173096, site loss 0.027177277952432632
Iteration 242, loss 1.8411457538604736, site loss 0.023171884939074516
Iteration 243, loss 1.8616070747375488, site loss 0.023699745535850525
Iteration 244, loss 1.8648054599761963, site loss 0.025211520493030548
Iteration 245, loss 1.9186749458312988, site loss 0.026770872995257378
Iteration 246, loss 1.8240119218826294, site loss 0.022106854245066643
Iteration 247, loss 1.8028311729431152, site loss 0.02346479892730713
Iteration 248, loss 1.8290786743164062, site loss 0.02324300818145275
Iteration 249, loss 1.8150756359100342, site loss 0.023571869358420372
Iteration 250, loss 1.7875107526779175, site loss 0.021045565605163574
Iteration 251, loss 1.7843120098114014, site loss 0.021609732881188393
Iteration 252, loss 1.8076566457748413, site loss 0.023497965186834335
Iteration 253, loss 1.8510291576385498, site loss 0.024324290454387665
Iteration 254, loss 1.7964603900909424, site loss 0.021823221817612648
Iteration 255, loss 1.797623872756958, site loss 0.020473666489124298
Iteration 256, loss 1.7594046592712402, site loss 0.02281486615538597
Iteration 257, loss 1.804764986038208, site loss 0.021944545209407806
Iteration 258, loss 1.7857133150100708, site loss 0.02072497271001339
Iteration 259, loss 1.8135716915130615, site loss 0.024143580347299576
Iteration 260, loss 1.7186551094055176, site loss 0.019575458019971848
Iteration 261, loss 1.757857322692871, site loss 0.019589148461818695
Iteration 262, loss 1.7196400165557861, site loss 0.01876327022910118
Iteration 263, loss 1.8544567823410034, site loss 0.024415399879217148
Iteration 264, loss 1.8343327045440674, site loss 0.02066020667552948
Iteration 265, loss 1.7187317609786987, site loss 0.020265892148017883
Iteration 266, loss 1.8335585594177246, site loss 0.020985541865229607
Iteration 267, loss 1.7932708263397217, site loss 0.021972820162773132
Iteration 268, loss 1.7591288089752197, site loss 0.02398000657558441
Iteration 269, loss 1.7484418153762817, site loss 0.021465588361024857
Iteration 270, loss 1.7661707401275635, site loss 0.01985304430127144
Iteration 271, loss 1.7672755718231201, site loss 0.019120166078209877
Iteration 272, loss 1.7314059734344482, site loss 0.01904023066163063
Iteration 273, loss 1.719226360321045, site loss 0.018849384039640427
Iteration 274, loss 1.7097837924957275, site loss 0.0198859553784132
Iteration 275, loss 1.775900959968567, site loss 0.020578453317284584
Iteration 276, loss 1.7641007900238037, site loss 0.021568814292550087
Iteration 277, loss 1.7499570846557617, site loss 0.021082529798150063
Iteration 278, loss 1.7242579460144043, site loss 0.01895367167890072
Iteration 279, loss 1.8236889839172363, site loss 0.02087082713842392
Iteration 280, loss 1.8592555522918701, site loss 0.022976096719503403
Iteration 281, loss 1.7519831657409668, site loss 0.020567085593938828
Iteration 282, loss 1.7489914894104004, site loss 0.020182624459266663
Iteration 283, loss 1.7456501722335815, site loss 0.02169955149292946
Iteration 284, loss 1.8137482404708862, site loss 0.020687170326709747
Iteration 285, loss 1.7385060787200928, site loss 0.01982048898935318
Iteration 286, loss 1.8272098302841187, site loss 0.021858811378479004
Iteration 287, loss 1.7233197689056396, site loss 0.022756200283765793
Iteration 288, loss 1.8053689002990723, site loss 0.021964311599731445
Iteration 289, loss 1.8097145557403564, site loss 0.023105312138795853
Iteration 290, loss 1.7882106304168701, site loss 0.024478457868099213
Iteration 291, loss 1.7546846866607666, site loss 0.022775810211896896
Iteration 292, loss 1.8240468502044678, site loss 0.02089262753725052
Iteration 293, loss 1.7834479808807373, site loss 0.021646002307534218
Iteration 294, loss 1.7721785306930542, site loss 0.020118094980716705
Iteration 295, loss 1.8551335334777832, site loss 0.023860709741711617
Iteration 296, loss 1.7912683486938477, site loss 0.020338259637355804
Iteration 297, loss 1.8137879371643066, site loss 0.020391371101140976
Iteration 298, loss 1.792252779006958, site loss 0.02237119898200035
Iteration 299, loss 1.793220043182373, site loss 0.023711681365966797
Iteration 300, loss 1.85209059715271, site loss 0.021310053765773773
Iteration 301, loss 1.7805006504058838, site loss 0.01970973052084446
Iteration 302, loss 1.7073721885681152, site loss 0.019978929311037064
Iteration 303, loss 1.8056567907333374, site loss 0.021326087415218353
Iteration 304, loss 1.6999869346618652, site loss 0.020284241065382957
Iteration 305, loss 1.7645268440246582, site loss 0.02031782828271389
Iteration 306, loss 1.8085708618164062, site loss 0.020537611097097397
Iteration 307, loss 1.8036737442016602, site loss 0.02153969183564186
Iteration 308, loss 1.793576717376709, site loss 0.020082799717783928
Iteration 309, loss 1.7595480680465698, site loss 0.019970087334513664
Iteration 310, loss 1.8342164754867554, site loss 0.018420012667775154
Iteration 311, loss 1.7676794528961182, site loss 0.019718220457434654
Iteration 312, loss 1.7569581270217896, site loss 0.020500103011727333
Iteration 313, loss 1.778528094291687, site loss 0.022707294672727585
Iteration 314, loss 2.3783645629882812, site loss 0.048766084015369415
Iteration 315, loss 1.8164118528366089, site loss 0.02007606439292431
Iteration 316, loss 1.804402232170105, site loss 0.01869776099920273
Iteration 317, loss 1.7496778964996338, site loss 0.018742330372333527
Iteration 318, loss 1.759518027305603, site loss 0.018848074600100517
Iteration 319, loss 1.8109135627746582, site loss 0.020826861262321472
Iteration 320, loss 1.7974019050598145, site loss 0.01929713413119316
Iteration 321, loss 1.8187055587768555, site loss 0.0189763605594635
Iteration 322, loss 1.7756848335266113, site loss 0.017479803413152695
Iteration 323, loss 1.8358006477355957, site loss 0.020046569406986237
Iteration 324, loss 1.7873896360397339, site loss 0.01990041881799698
Iteration 325, loss 1.7422659397125244, site loss 0.02002778835594654
Iteration 326, loss 1.756937026977539, site loss 0.018391994759440422
Iteration 327, loss 1.8337551355361938, site loss 0.019368235021829605
Iteration 328, loss 1.8155105113983154, site loss 0.019188523292541504
Iteration 329, loss 1.7785248756408691, site loss 0.019876260310411453
Iteration 330, loss 1.7810883522033691, site loss 0.019385356456041336
Iteration 331, loss 1.7573837041854858, site loss 0.01816272735595703
Iteration 332, loss 1.7901239395141602, site loss 0.02021339163184166
Iteration 333, loss 1.7302005290985107, site loss 0.019857436418533325
Iteration 334, loss 1.6658350229263306, site loss 0.017795126885175705
Iteration 335, loss 1.7225079536437988, site loss 0.018837550655007362
Iteration 336, loss 1.681444764137268, site loss 0.015920476987957954
Iteration 337, loss 1.7308450937271118, site loss 0.01908552274107933
Iteration 338, loss 1.7255609035491943, site loss 0.019757473841309547
Iteration 339, loss 1.7697633504867554, site loss 0.022775346413254738
Iteration 340, loss 1.7421307563781738, site loss 0.016598334535956383
Iteration 341, loss 1.6666038036346436, site loss 0.01681627705693245
Iteration 342, loss 1.5722098350524902, site loss 0.015480373054742813
Iteration 343, loss 1.7575434446334839, site loss 0.017981689423322678
Iteration 344, loss 1.7296385765075684, site loss 0.01807510480284691
Iteration 345, loss 1.7140235900878906, site loss 0.015304618515074253
Iteration 346, loss 1.752657175064087, site loss 0.015297813341021538
Iteration 347, loss 1.6922008991241455, site loss 0.018265914171934128
Iteration 348, loss 1.7229280471801758, site loss 0.01768770068883896
Iteration 349, loss 1.8102573156356812, site loss 0.01709018461406231
Iteration 350, loss 1.7326757907867432, site loss 0.015373600646853447
Iteration 351, loss 1.7003966569900513, site loss 0.01724115014076233
Iteration 352, loss 1.7144427299499512, site loss 0.01665361411869526
Iteration 353, loss 1.7388142347335815, site loss 0.015994563698768616
Iteration 354, loss 1.655626654624939, site loss 0.014264426194131374
Iteration 355, loss 1.7003192901611328, site loss 0.01691102609038353
Iteration 356, loss 1.6565721035003662, site loss 0.016775794327259064
Iteration 357, loss 1.7862499952316284, site loss 0.018307387828826904
Iteration 358, loss 1.7251343727111816, site loss 0.015830088406801224
Iteration 359, loss 1.831592321395874, site loss 0.020898528397083282
Iteration 360, loss 1.7043099403381348, site loss 0.01640733703970909
Iteration 361, loss 1.7217020988464355, site loss 0.016594145447015762
Iteration 362, loss 1.7951104640960693, site loss 0.016695378348231316
Iteration 363, loss 1.6603962182998657, site loss 0.01433052308857441
Iteration 364, loss 1.7813447713851929, site loss 0.018316112458705902
Iteration 365, loss 1.6057851314544678, site loss 0.013638629578053951
Iteration 366, loss 1.6713335514068604, site loss 0.014029320329427719
Iteration 367, loss 1.6715664863586426, site loss 0.01364901289343834
Iteration 368, loss 1.6526294946670532, site loss 0.015053590759634972
Iteration 369, loss 1.6350868940353394, site loss 0.012287374585866928
Iteration 370, loss 1.6886703968048096, site loss 0.014260931871831417
Iteration 371, loss 1.722640872001648, site loss 0.014779709279537201
Iteration 372, loss 1.7085191011428833, site loss 0.0129756610840559
Iteration 373, loss 1.6281696557998657, site loss 0.017772844061255455
Iteration 374, loss 1.7508764266967773, site loss 0.016220275312662125
Iteration 375, loss 1.6955206394195557, site loss 0.0150340236723423
Iteration 376, loss 1.7104140520095825, site loss 0.016508355736732483
Iteration 377, loss 1.6705868244171143, site loss 0.015268353745341301
Iteration 378, loss 1.6822785139083862, site loss 0.016707655042409897
Iteration 379, loss 1.6615697145462036, site loss 0.01309872791171074
Iteration 380, loss 1.736624002456665, site loss 0.01599961705505848
Iteration 381, loss 1.5994207859039307, site loss 0.013781493529677391
Iteration 382, loss 1.7199931144714355, site loss 0.01648581586778164
Iteration 383, loss 1.7079799175262451, site loss 0.01641087420284748
Iteration 384, loss 1.6490049362182617, site loss 0.015390438959002495
Iteration 385, loss 1.6518876552581787, site loss 0.015734901651740074
Iteration 386, loss 1.6799789667129517, site loss 0.017042048275470734
Iteration 387, loss 1.626498818397522, site loss 0.01381116732954979
Iteration 388, loss 1.7596168518066406, site loss 0.015233375132083893
Iteration 389, loss 1.7106873989105225, site loss 0.01827862486243248
Iteration 390, loss 1.7818324565887451, site loss 0.017682209610939026
Iteration 391, loss 1.600601315498352, site loss 0.017199283465743065
